,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3132,Maxi Kleber,Dallas Mavericks,21:55,0,3,0.0,0,3,0.0,0,0,0.0,1,7,8,1,0,0,1,0,0,-7,21:55,0.0,0.0,1.0,0.0,4.5,41.4,20.4,6.3,0.0,0.0,25.0,8.2,32.0,106.0,20220212
3133,Josh Green,Dallas Mavericks,20:15,1,7,0.143,0,2,0.0,0,0,0.0,3,0,3,0,3,0,0,2,2,-13,20:15,0.143,0.143,0.286,0.0,14.5,0.0,8.3,0.0,7.6,0.0,0.0,15.5,59.0,94.0,20220212
3134,Frank Ntilikina,Dallas Mavericks,11:33,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2,-13,11:33,0.25,0.25,0.5,0.0,0.0,11.2,4.8,0.0,4.5,0.0,20.0,19.4,43.0,99.0,20220212
3135,Trey Burke,Dallas Mavericks,2:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,2:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,20220212
3136,Sterling Brown,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220212
3137,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220212
3138,Theo Pinson,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220212
3139,Team Totals,Dallas Mavericks,240,35,85,0.412,15,39,0.385,12,19,0.632,13,31,44,16,4,0,14,17,97,0,240,0.519,0.5,0.459,0.224,26.5,83.8,51.2,45.7,4.3,0.0,13.0,100.0,104.3,106.4,20220212
3140,Jalen Brunson,Dallas Mavericks,38:54,6,14,0.429,3,5,0.6,4,5,0.8,3,3,6,6,2,0,2,4,19,12,38:54,0.586,0.536,0.357,0.357,8.2,9.0,8.6,27.8,2.9,0.0,11.0,22.8,127.0,114.0,20220215
3141,Luka Dončić,Dallas Mavericks,38:07,5,19,0.263,2,7,0.286,9,12,0.75,1,9,10,6,0,1,3,3,21,3,38:07,0.432,0.316,0.368,0.632,2.8,27.6,14.6,27.3,0.0,2.2,11.0,34.9,99.0,111.0,20220215
3142,Dorian Finney-Smith,Dallas Mavericks,35:52,5,9,0.556,4,7,0.571,0,0,0.0,3,2,5,1,0,1,1,4,14,-6,35:52,0.778,0.778,0.778,0.0,8.9,6.5,7.8,4.9,0.0,2.3,10.0,13.6,140.0,120.0,20220215
3143,Dwight Powell,Dallas Mavericks,25:49,3,4,0.75,0,0,0.0,1,3,0.333,1,1,2,3,1,0,1,5,7,2,25:49,0.658,0.75,0.0,0.75,4.1,4.5,4.3,19.6,2.2,0.0,15.8,11.9,128.0,118.0,20220215
3144,Josh Green,Dallas Mavericks,20:13,3,5,0.6,2,3,0.667,0,0,0.0,1,2,3,3,0,0,0,3,8,2,20:13,0.8,0.8,0.6,0.0,5.3,11.6,8.3,26.5,0.0,0.0,0.0,12.0,175.0,119.0,20220215
3145,Maxi Kleber,Dallas Mavericks,34:55,5,10,0.5,3,8,0.375,6,8,0.75,2,4,6,0,1,5,1,3,19,13,34:55,0.703,0.65,0.8,0.8,6.1,13.4,9.6,0.0,1.6,12.1,6.9,20.3,135.0,109.0,20220215
3146,Spencer Dinwiddie,Dallas Mavericks,23:06,2,5,0.4,0,2,0.0,0,4,0.0,0,2,2,5,1,0,0,2,4,-3,23:06,0.296,0.4,0.4,0.8,0.0,10.1,4.8,34.8,2.4,0.0,0.0,14.3,99.0,115.0,20220215
3147,Dāvis Bertāns,Dallas Mavericks,13:16,4,8,0.5,3,7,0.429,1,1,1.0,1,2,3,1,0,0,0,2,12,9,13:16,0.711,0.688,0.875,0.125,8.0,17.6,12.6,18.5,0.0,0.0,0.0,31.0,145.0,116.0,20220215
