,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
2536,Ben McLemore,Portland Trail Blazers,22:33,2,6,0.333,1,4,0.25,0,0,0.0,1,1,2,1,0,0,0,1,5,-20,22:33,0.417,0.417,0.667,0.0,5.0,6.1,5.5,5.6,0.0,0.0,0.0,11.4,102.0,155.0,20211204
2537,Cody Zeller,Portland Trail Blazers,16:15,4,8,0.5,0,0,0.0,2,2,1.0,3,6,9,1,0,0,1,0,10,-4,16:15,0.563,0.5,0.0,0.25,20.6,50.6,34.1,9.8,0.0,0.0,10.1,26.0,119.0,143.0,20211204
2538,Tony Snell,Portland Trail Blazers,10:16,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,1,0,1,10:16,0.0,0.0,0.0,0.0,0.0,26.7,12.0,11.1,0.0,9.4,0.0,0.0,219.0,144.0,20211204
2539,Trendon Watford,Portland Trail Blazers,5:51,2,3,0.667,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,1,6,-5,5:51,1.5,1.5,1.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,50.0,14.6,129.0,156.0,20211204
2540,CJ Elleby,Portland Trail Blazers,5:51,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,-5,5:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,20211204
2541,Keljin Blevins,Portland Trail Blazers,5:51,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,1,0,3,-5,5:51,0.667,0.667,0.333,0.0,0.0,23.4,10.5,0.0,0.0,0.0,25.0,29.3,87.0,150.0,20211204
2542,Greg Brown III,Portland Trail Blazers,5:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5,5:51,0.773,0.667,0.0,0.667,19.1,0.0,10.5,0.0,0.0,0.0,0.0,28.4,166.0,156.0,20211204
2543,Team Totals,Portland Trail Blazers,240,42,89,0.472,8,29,0.276,25,32,0.781,9,23,32,22,7,2,9,21,117,0,240,0.568,0.517,0.326,0.36,20.9,65.7,41.0,52.4,7.1,4.0,8.0,100.0,119.4,148.0,20211204
2544,Norman Powell,Portland Trail Blazers,43:56,10,24,0.417,2,8,0.25,7,8,0.875,0,5,5,1,0,0,3,3,29,-10,43:56,0.527,0.458,0.333,0.333,0.0,12.1,6.7,4.5,0.0,0.0,9.8,31.5,99.0,108.0,20211206
2545,Dennis Smith Jr.,Portland Trail Blazers,38:35,6,11,0.545,1,1,1.0,0,0,0.0,2,4,6,7,1,1,7,1,13,-10,38:35,0.591,0.591,0.091,0.0,6.7,11.1,9.1,31.6,1.3,2.2,38.9,21.2,86.0,104.0,20211206
2546,Tony Snell,Portland Trail Blazers,31:51,2,4,0.5,0,2,0.0,0,0,0.0,0,4,4,3,1,0,1,1,4,-8,31:51,0.5,0.5,0.5,0.0,0.0,13.4,7.4,14.1,1.5,0.0,20.0,7.1,98.0,105.0,20211206
2547,Jusuf Nurkić,Portland Trail Blazers,30:03,12,19,0.632,1,2,0.5,6,10,0.6,0,5,5,1,0,1,3,5,31,-9,30:03,0.662,0.658,0.105,0.526,0.0,17.7,9.7,10.1,0.0,2.9,11.4,39.9,115.0,104.0,20211206
