,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3400,Matisse Thybulle,Philadelphia 76ers,19:40,0,5,0.0,0,2,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,14,19:40,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.2,2.4,0.0,0.0,11.2,18.0,125.0,20220405
3401,Shake Milton,Philadelphia 76ers,19:44,4,7,0.571,2,3,0.667,0,0,0.0,0,3,3,2,1,0,0,0,10,1,19:44,0.714,0.714,0.429,0.0,0.0,15.5,8.7,13.1,2.4,0.0,0.0,15.6,143.0,119.0,20220405
3402,Danny Green,Philadelphia 76ers,19:31,1,5,0.2,1,4,0.25,0,0,0.0,1,1,2,2,0,1,0,0,3,-10,19:31,0.3,0.3,0.8,0.0,6.6,5.2,5.9,11.0,0.0,4.5,0.0,11.3,98.0,126.0,20220405
3403,Georges Niang,Philadelphia 76ers,17:31,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0,0,0,0,1,5,9,5,17:31,1.125,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.6,134.0,130.0,20220405
3404,DeAndre Jordan,Philadelphia 76ers,9:21,3,3,1.0,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,6,-11,9:21,1.0,1.0,0.0,0.0,27.7,43.7,36.7,16.2,0.0,0.0,25.0,18.9,161.0,113.0,20220405
3405,Isaiah Joe,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220405
3406,Furkan Korkmaz,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220405
3407,Charlie Brown Jr.,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220405
3408,Paul Millsap,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220405
3409,Paul Reed,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220405
3410,Team Totals,Philadelphia 76ers,240,47,87,0.54,23,40,0.575,14,18,0.778,5,31,36,34,8,3,14,14,131,0,240,0.69,0.672,0.46,0.207,13.5,66.0,42.9,72.3,7.9,5.5,12.9,100.0,129.3,120.4,20220405
3411,James Harden,Philadelphia 76ers,39:27,3,12,0.25,1,4,0.25,6,6,1.0,0,4,4,15,0,0,3,1,13,7,39:27,0.444,0.292,0.333,0.5,0.0,11.3,6.2,54.7,0.0,0.0,17.0,21.0,121.0,132.0,20220407
